Reporting_Airline,DestStateName,ArrDelay
ExpressJet Airlines,Georgia,62
United Air Lines,Texas,-4
Southwest,Florida,13
Delta Air Lines,Georgia,37
Southwest,California,55
American Airlines,Texas,-12
American Airlines,Florida,26
United Air Lines,California,-25
ExpressJet Airlines,Texas,21
United Air Lines,California,-6
Southwest,California,10
Southwest,Georgia,15
SkyWest Airlines,California,64
United Air Lines,Colorado,-9
American Airlines,Illinois,-3
SkyWest Airlines,California,5
Southwest,Texas,7
American Airlines,California,5
Southwest,Georgia,-11
SkyWest Airlines,Colorado,-15
Delta Air Lines,Georgia,14
Southwest,California,3
Delta Air Lines,Georgia,-13
American Airlines,Texas,-20
SkyWest Airlines,California,-14
ExpressJet Airlines,Georgia,-2
Southwest,California,5
Southwest,Illinois,-18
Southwest,Texas,-2
American Airlines,Illinois,-6
Southwest,Texas,21
Delta Air Lines,Georgia,22
SkyWest Airlines,California,-22
United Air Lines,Florida,-12
United Air Lines,California,-3
Delta Air Lines,Georgia,-7
Southwest,Florida,-16
Southwest,Illinois,5
American Airlines,Texas,-17
Delta Air Lines,Georgia,-5
American Airlines,California,-4
Southwest,California,-2
Southwest,Illinois,-23
Southwest,Colorado,148
United Air Lines,California,-18
SkyWest Airlines,California,-1
