Reporting_Airline,DelayType,DelayAmount
Southwest,CarrierDelay,16
Southwest,CarrierDelay,16
ExpressJet Airlines,CarrierDelay,89
ExpressJet Airlines,CarrierDelay,13
Southwest,CarrierDelay,1
Delta Air Lines,CarrierDelay,110
Southwest,CarrierDelay,24
Southwest,CarrierDelay,25
United Air Lines,CarrierDelay,90
Southwest,CarrierDelay,16
Delta Air Lines,CarrierDelay,104
ExpressJet Airlines,CarrierDelay,20
Southwest,CarrierDelay,6
Southwest,CarrierDelay,56
American Airlines,CarrierDelay,25
United Air Lines,CarrierDelay,6
Southwest,CarrierDelay,1
Delta Air Lines,CarrierDelay,42
ExpressJet Airlines,CarrierDelay,1
Southwest,CarrierDelay,50
ExpressJet Airlines,CarrierDelay,1
American Airlines,CarrierDelay,19
Delta Air Lines,CarrierDelay,30
American Airlines,CarrierDelay,25
Southwest,CarrierDelay,44
SkyWest Airlines,CarrierDelay,55
Delta Air Lines,CarrierDelay,37
American Airlines,CarrierDelay,49
American Airlines,CarrierDelay,80
Southwest,CarrierDelay,6
SkyWest Airlines,CarrierDelay,184
Southwest,CarrierDelay,34
United Air Lines,CarrierDelay,32
ExpressJet Airlines,CarrierDelay,8
SkyWest Airlines,CarrierDelay,24
American Airlines,CarrierDelay,48
ExpressJet Airlines,CarrierDelay,63
Southwest,CarrierDelay,6
American Airlines,CarrierDelay,8
ExpressJet Airlines,CarrierDelay,62
Southwest,CarrierDelay,8
Southwest,CarrierDelay,4
American Airlines,CarrierDelay,1
Southwest,CarrierDelay,3
ExpressJet Airlines,CarrierDelay,1
SkyWest Airlines,CarrierDelay,36
SkyWest Airlines,CarrierDelay,177
ExpressJet Airlines,CarrierDelay,11
ExpressJet Airlines,CarrierDelay,26
Southwest,CarrierDelay,3
SkyWest Airlines,CarrierDelay,103
SkyWest Airlines,CarrierDelay,22
Southwest,CarrierDelay,7
Delta Air Lines,CarrierDelay,209
Southwest,CarrierDelay,12
ExpressJet Airlines,CarrierDelay,26
Southwest,CarrierDelay,17
Southwest,CarrierDelay,34
SkyWest Airlines,CarrierDelay,48
SkyWest Airlines,CarrierDelay,42
Southwest,CarrierDelay,7
Southwest,CarrierDelay,9
United Air Lines,CarrierDelay,25
Southwest,CarrierDelay,6
Delta Air Lines,CarrierDelay,15
Southwest,CarrierDelay,4
SkyWest Airlines,CarrierDelay,60
Southwest,CarrierDelay,7
Southwest,CarrierDelay,37
